# 24bc26d5-0bcf-4284-be5c-107c2549fde7
# 4270b7c6121f3ff8c994db783bf427edfffa4839
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; -113.7462309; 465.5873447; 2.3381598; -0.0000283; 49.9448310; 0.5773717
1.9995614; -115.1854417; 464.1992099; 2.3381030; -0.0000286; 49.9679409; 0.5709845
3.9991229; -116.6247318; 462.8111574; 2.3380456; -0.0000288; 49.9907847; 0.5646692
5.9986843; -118.0641020; 461.4231879; 2.3379876; -0.0000291; 50.0133656; 0.5584251
7.9982457; -119.5035529; 460.0353021; 2.3379292; -0.0000294; 50.0356868; 0.5522514
9.9978071; -120.9430853; 458.6475008; 2.3378702; -0.0000296; 50.0577514; 0.5461470
11.9973686; -122.3826998; 457.2597847; 2.3378108; -0.0000299; 50.0795625; 0.5401114
13.9969300; -123.8223973; 455.8721547; 2.3377508; -0.0000301; 50.1011233; 0.5341436
15.9964914; -125.2621783; 454.4846114; 2.3376902; -0.0000304; 50.1224367; 0.5282429
17.9960528; -126.7020437; 453.0971556; 2.3376292; -0.0000307; 50.1435057; 0.5224085
19.9956143; -128.1419943; 451.7097882; 2.3375676; -0.0000309; 50.1643334; 0.5166396
21.9951757; -129.5820305; 450.3225097; 2.3375055; -0.0000312; 50.1849225; 0.5109355
23.9947371; -131.0221533; 448.9353211; 2.3374429; -0.0000314; 50.2052760; 0.5052954
25.9942986; -132.4623633; 447.5482230; 2.3373798; -0.0000317; 50.2253968; 0.4997186
27.9938600; -133.9026612; 446.1612163; 2.3373161; -0.0000320; 50.2452875; 0.4942043
29.9934214; -135.3430478; 444.7743016; 2.3372519; -0.0000322; 50.2649510; 0.4887519
31.9929828; -136.7835238; 443.3874797; 2.3371872; -0.0000325; 50.2843900; 0.4833605
33.9925443; -138.2240899; 442.0007515; 2.3371220; -0.0000328; 50.3036072; 0.4780296
35.9921057; -139.6647468; 440.6141176; 2.3370562; -0.0000330; 50.3226052; 0.4727583
37.9916671; -141.1054952; 439.2275787; 2.3369899; -0.0000333; 50.3413867; 0.4675460
39.9912285; -142.5463359; 437.8411358; 2.3369231; -0.0000335; 50.3599542; 0.4623921
41.9907900; -143.9872695; 436.4547895; 2.3368558; -0.0000338; 50.3783103; 0.4572958
43.9903514; -145.4282969; 435.0685405; 2.3367880; -0.0000341; 50.3964575; 0.4522565
