# d275d66c-6f47-44c4-ab3a-9c3f03b418c8
# fa6dd5aa5c60fc24f97b1c07282f552698c45468
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 373.8329698; 1133.8436707; -0.1316742; 0.0011519; 56.2829393; 1.6494094
1.9996258; 374.0932171; 1135.8262885; -0.1293581; 0.0011646; 56.3415092; 1.6306442
3.9992517; 374.3488467; 1137.8095069; -0.1270168; 0.0011772; 56.3993530; 1.6121074
5.9988775; 374.5998072; 1139.7933214; -0.1246501; 0.0011899; 56.4564809; 1.5937959
7.9985033; 374.8460469; 1141.7777276; -0.1222582; 0.0012025; 56.5129032; 1.5757066
9.9981292; 375.0875142; 1143.7627201; -0.1198409; 0.0012152; 56.5686298; 1.5578364
11.9977550; 375.3241574; 1145.7482933; -0.1173984; 0.0012279; 56.6236704; 1.5401824
13.9973808; 375.5559248; 1147.7344419; -0.1149304; 0.0012405; 56.6780348; 1.5227415
15.9970067; 375.7827646; 1149.7211591; -0.1124371; 0.0012532; 56.7317324; 1.5055110
17.9966325; 376.0046250; 1151.7084383; -0.1099185; 0.0012659; 56.7847724; 1.4884879
19.9962583; 376.2214542; 1153.6962731; -0.1073744; 0.0012786; 56.8371640; 1.4716695
21.9958842; 376.4332003; 1155.6846556; -0.1048049; 0.0012913; 56.8889162; 1.4550529
23.9955100; 376.6398111; 1157.6735780; -0.1022100; 0.0013041; 56.9400379; 1.4386356
25.9951358; 376.8412349; 1159.6630329; -0.0995896; 0.0013168; 56.9905376; 1.4224147
27.9947617; 377.0374196; 1161.6530110; -0.0969437; 0.0013295; 57.0404240; 1.4063878
29.9943875; 377.2283130; 1163.6435033; -0.0942724; 0.0013423; 57.0897055; 1.3905521
31.9940133; 377.4138631; 1165.6345014; -0.0915756; 0.0013551; 57.1383902; 1.3749052
33.9936392; 377.5940176; 1167.6259947; -0.0888531; 0.0013678; 57.1864864; 1.3594445
35.9932650; 377.7687246; 1169.6179729; -0.0861055; 0.0013804; 57.2340021; 1.3441676
37.9928908; 377.9379329; 1171.6104264; -0.0833330; 0.0013926; 57.2809450; 1.3290721
39.9925167; 378.1015922; 1173.6033431; -0.0805361; 0.0014048; 57.3273229; 1.3141556
41.9921425; 378.2596523; 1175.5967111; -0.0777147; 0.0014171; 57.3731434; 1.2994156
43.9917683; 378.4120632; 1177.5905199; -0.0748686; 0.0014294; 57.4184141; 1.2848500
45.9913942; 378.5587745; 1179.5847558; -0.0719980; 0.0014417; 57.4631423; 1.2704565
47.9910200; 378.6997359; 1181.5794057; -0.0691028; 0.0014541; 57.5073351; 1.2562327
49.9906458; 378.8348973; 1183.5744582; -0.0661829; 0.0014664; 57.5509998; 1.2421765
