# 7bf6128d-9290-456c-947c-334bd06c4653
# 4270b7c6121f3ff8c994db783bf427edfffa4839
# s_m; x_m; y_m; psi_rad; kappa_radpm; vx_mps; ax_mps2
0.0000000; 927.4998321; -448.2773828; 0.5688758; -0.0001724; 28.7473459; 4.3608978
1.9997252; 926.4228991; -446.5924152; 0.5685327; -0.0001708; 29.0491151; 4.3410783
3.9994503; 925.3465416; -444.9070799; 0.5681928; -0.0001692; 29.3464311; 4.3213488
5.9991755; 924.2707542; -443.2213805; 0.5678562; -0.0001675; 29.6394338; 4.3017090
7.9989006; 923.1955317; -441.5353209; 0.5675228; -0.0001659; 29.9282560; 4.2821585
9.9986258; 922.1208687; -439.8489045; 0.5671926; -0.0001643; 30.2130235; 4.2626968
11.9983509; 921.0467599; -438.1621351; 0.5668656; -0.0001627; 30.4938557; 4.2433236
13.9980761; 919.9732000; -436.4750164; 0.5665418; -0.0001611; 30.7708660; 4.2240384
15.9978013; 918.9001836; -434.7875519; 0.5662213; -0.0001595; 31.0441625; 4.2048409
17.9975264; 917.8277054; -433.0997451; 0.5659040; -0.0001579; 31.3138480; 4.1857306
19.9972516; 916.7557602; -431.4116001; 0.5655899; -0.0001563; 31.5800206; 4.1667072
21.9969767; 915.6843425; -429.7231201; 0.5652790; -0.0001546; 31.8427737; 4.1477702
23.9967019; 914.6134469; -428.0343087; 0.5649714; -0.0001530; 32.1021968; 4.1289193
25.9964271; 913.5430684; -426.3451699; 0.5646670; -0.0001514; 32.3583752; 4.1101540
27.9961522; 912.4732013; -424.6557069; 0.5643658; -0.0001498; 32.6113907; 4.0914741
29.9958774; 911.4038403; -422.9659235; 0.5640678; -0.0001482; 32.8613215; 4.0728790
31.9956025; 910.3349802; -421.2758234; 0.5637731; -0.0001466; 33.1082426; 4.0543685
33.9953277; 909.2666156; -419.5854099; 0.5634816; -0.0001450; 33.3522259; 4.0359421
35.9950528; 908.1987410; -417.8946867; 0.5631933; -0.0001434; 33.5933405; 4.0175994
37.9947780; 907.1313512; -416.2036576; 0.5629082; -0.0001417; 33.8316525; 3.9993401
39.9945032; 906.0644408; -414.5123260; 0.5626264; -0.0001401; 34.0672258; 3.9811638
41.9942283; 904.9980043; -412.8206952; 0.5623477; -0.0001385; 34.3001216; 3.9630701
43.9939535; 903.9320366; -411.1287694; 0.5620723; -0.0001369; 34.5303988; 3.9450586
45.9936786; 902.8665321; -409.4365517; 0.5618002; -0.0001353; 34.7581143; 3.9271290
47.9934038; 901.8014855; -407.7440456; 0.5615312; -0.0001337; 34.9833227; 3.9092808
49.9931290; 900.7368915; -406.0512551; 0.5612655; -0.0001321; 35.2060768; 3.8915138
51.9928541; 899.6727445; -404.3581834; 0.5610030; -0.0001305; 35.4264274; 3.8738275
53.9925793; 898.6090392; -402.6648339; 0.5607437; -0.0001289; 35.6444237; 3.8562217
55.9923044; 897.5457704; -400.9712107; 0.5604876; -0.0001272; 35.8601130; 3.8386958
57.9920296; 896.4829326; -399.2773169; 0.5602348; -0.0001256; 36.0735412; 3.8175725
59.9917547; 895.4205202; -397.5831559; 0.5599852; -0.0001240; 36.2845500; 3.7896719
61.9914799; 894.3585281; -395.8887319; 0.5597388; -0.0001224; 36.4928099; 3.7620354
63.9912051; 893.2969508; -394.1940478; 0.5594956; -0.0001208; 36.6983821; 3.7346590
65.9909302; 892.2357828; -392.4991071; 0.5592557; -0.0001192; 36.9013256; 3.7075385
67.9906554; 891.1750189; -390.8039139; 0.5590190; -0.0001176; 37.1016974; 3.6806697
69.9903805; 890.1146535; -389.1084712; 0.5587855; -0.0001160; 37.2995523; 3.6540490
